,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat,class
0,x,f,g,t,n,f,c,b,u,t,b,32,s,s,p,g,p,w,23,o,p,k,y,d,e
1,x,y,g,f,f,f,c,b,g,e,b,7,k,k,b,b,p,w,23,o,l,h,v,d,p
2,b,s,w,t,a,f,c,b,w,e,c,2,s,s,w,w,p,w,24,o,p,k,s,m,e
3,f,y,y,f,f,f,c,b,p,e,b,2,k,k,n,b,p,w,53,o,l,h,y,d,p
4,b,y,y,t,a,f,c,b,w,e,c,10,s,s,w,w,p,w,24,o,p,k,n,m,e
5,f,f,y,f,f,f,c,b,h,e,b,89,k,k,n,b,p,w,23,o,l,h,y,d,p
6,x,f,p,f,c,f,c,n,n,e,b,44,s,s,w,w,p,w,24,o,p,n,s,d,p
7,k,s,n,f,n,a,c,b,n,e,?,564,s,s,o,o,p,o,24,o,p,b,v,l,e
8,f,y,n,t,n,f,c,b,p,t,b,67,s,s,p,w,p,w,23,o,p,n,v,d,e
9,f,s,w,t,f,f,c,b,h,t,b,17,s,s,w,w,p,w,23,o,p,h,v,u,p
10,f,f,n,f,n,f,w,b,h,t,e,20,s,f,w,w,p,w,23,o,e,n,a,g,e
11,f,y,g,t,n,f,c,b,u,t,b,39,s,s,p,p,p,w,27,o,p,k,v,d,e
12,f,s,g,t,f,f,c,b,w,t,b,30,s,s,w,w,p,w,25,o,p,h,s,u,p
13,x,f,y,f,f,f,c,b,h,e,b,207,k,k,p,n,p,w,23,o,l,h,v,g,p
14,f,y,n,t,n,f,c,b,p,t,b,104,s,s,w,g,p,w,23,o,p,n,v,d,e
15,f,s,e,f,f,f,c,n,b,t,?,27,s,s,p,w,p,w,26,o,e,w,v,p,p
16,x,y,e,t,n,f,c,b,e,e,?,206,s,s,w,w,p,w,44,t,e,w,c,w,e
17,x,f,g,f,f,f,c,b,p,e,b,196,k,k,n,n,p,w,23,o,l,h,y,g,p
18,f,y,y,f,f,f,c,b,g,e,b,20,k,k,b,b,p,w,32,o,l,h,v,d,p
19,x,s,g,t,f,f,c,b,h,t,b,3,s,f,w,w,p,w,23,o,p,h,s,g,p
20,f,s,w,f,n,f,w,b,n,t,e,206,s,s,w,w,p,w,50,o,e,k,a,g,e
21,x,s,w,f,c,f,c,n,n,e,b,2,s,s,w,w,p,w,37,o,p,k,v,d,p
22,k,s,n,f,y,f,c,n,b,t,?,823,s,k,w,p,p,w,38,o,e,w,v,d,p
